"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 12 02:38:58 MSK 2022","Sun Jun 12 02:39:02 MSK 2022","3548","","test.LogInTest","","test.LogInTest","testLoginWorksFromRestorePasswordPage","testLoginWorksFromRestorePasswordPage",""
"passed","Sun Jun 12 02:39:11 MSK 2022","Sun Jun 12 02:39:13 MSK 2022","2383","","test.SignUpTest","","test.SignUpTest","testSuccessfulSignUp","testSuccessfulSignUp",""
"passed","Sun Jun 12 02:39:02 MSK 2022","Sun Jun 12 02:39:05 MSK 2022","3231","","test.LogOutTest","","test.LogOutTest","testLogOut","testLogOut",""
"passed","Sun Jun 12 02:39:05 MSK 2022","Sun Jun 12 02:39:08 MSK 2022","3126","","test.PersonalCabinetTest","","test.PersonalCabinetTest","testPersonalCabinet","testPersonalCabinet",""
"passed","Sun Jun 12 02:38:55 MSK 2022","Sun Jun 12 02:38:58 MSK 2022","3879","","test.LogInTest","","test.LogInTest","testLoginWorksFromSignUpPage","testLoginWorksFromSignUpPage",""
"passed","Sun Jun 12 02:38:27 MSK 2022","Sun Jun 12 02:38:39 MSK 2022","12742","","test.ConstructorNavigationTest","","test.ConstructorNavigationTest","testConstructorOpensWithLogoClick","testConstructorOpensWithLogoClick",""
"passed","Sun Jun 12 02:39:08 MSK 2022","Sun Jun 12 02:39:11 MSK 2022","2194","","test.SignUpTest","","test.SignUpTest","testUnsuccessfulSignUpDueToShortPassword","testUnsuccessfulSignUpDueToShortPassword",""
"passed","Sun Jun 12 02:38:47 MSK 2022","Sun Jun 12 02:38:50 MSK 2022","3473","","test.LogInTest","","test.LogInTest","testLoginWorksFromMainPage_PersonalCabinetButton","testLoginWorksFromMainPage_PersonalCabinetButton",""
"passed","Sun Jun 12 02:38:44 MSK 2022","Sun Jun 12 02:38:45 MSK 2022","1496","","test.ConstructorTest","","test.ConstructorTest","testNavigationToIngredients","testNavigationToIngredients",""
"passed","Sun Jun 12 02:38:39 MSK 2022","Sun Jun 12 02:38:43 MSK 2022","3498","","test.ConstructorNavigationTest","","test.ConstructorNavigationTest","testConstructorOpensWithButtonClick","testConstructorOpensWithButtonClick",""
"passed","Sun Jun 12 02:38:50 MSK 2022","Sun Jun 12 02:38:55 MSK 2022","4166","","test.LogInTest","","test.LogInTest","testLoginWorksFromMainPage_LogInButton","testLoginWorksFromMainPage_LogInButton",""
"passed","Sun Jun 12 02:38:45 MSK 2022","Sun Jun 12 02:38:47 MSK 2022","1528","","test.ConstructorTest","","test.ConstructorTest","testNavigationToSauces","testNavigationToSauces",""
"passed","Sun Jun 12 02:38:43 MSK 2022","Sun Jun 12 02:38:44 MSK 2022","840","","test.ConstructorTest","","test.ConstructorTest","testNavigationToBuns","testNavigationToBuns",""
